Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment
195,147.33750,145.73750,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
196,147.33750,147.93750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
197,147.35000,145.75000,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
198,147.35000,147.95000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
199,147.36250,145.76250,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
200,147.36250,147.96250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
201,147.37500,145.77500,1.60 MHz,Minus,FM,1.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
202,147.37500,147.97500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
203,147.38750,147.98750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
204,147.62500,147.02500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
205,147.63750,147.03750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
206,147.65000,147.05000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
207,147.66250,147.06250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
