Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
123,,438.612500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
124,,438.612500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
125,,438.625000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
126,,438.625000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
127,,438.637500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
128,,438.637500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
129,,438.650000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
130,,438.650000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
131,,438.662500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
132,,438.662500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
133,,438.675000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
134,,438.675000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
135,,438.687500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
136,,438.687500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
137,,438.700000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
138,,438.700000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
139,,438.712500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
140,,438.712500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
141,,438.725000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
142,,438.725000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
143,,438.737500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
144,,438.737500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
145,,438.750000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
146,,438.750000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
147,,438.762500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
148,,438.762500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
149,,438.775000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
150,,438.775000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
151,,438.787500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
152,,438.787500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
153,,438.800000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
154,,438.800000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
155,,438.812500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
156,,438.812500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
157,,438.825000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
158,,438.825000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
159,,438.837500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
160,,438.837500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
161,,438.850000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
162,,438.850000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
163,,438.862500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
164,,438.862500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
165,,438.875000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
166,,438.875000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
167,,438.887500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
168,,438.887500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
169,,438.900000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
170,,438.900000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
171,,438.912500,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
172,,438.912500,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
173,,438.925000,-,5.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
174,,438.925000,-,7.000000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
